validation loss: 10.9499
step    0 | loss: 10.955007| lr 1.2000e-04  |norm: 15.3429 | dt: 12247.90ms| tok/sec 42806.35
step    1 | loss: 10.111713| lr 2.4000e-04  |norm: 5.7300 | dt: 5749.26ms| tok/sec 91192.33
step    2 | loss: 9.692477| lr 3.6000e-04  |norm: 2.3336 | dt: 5746.12ms| tok/sec 91242.16
step    3 | loss: 9.398053| lr 4.8000e-04  |norm: 2.1295 | dt: 5806.76ms| tok/sec 90289.26
step    4 | loss: 9.080656| lr 6.0000e-04  |norm: 1.9005 | dt: 5945.06ms| tok/sec 88188.83
step    5 | loss: 8.727307| lr 6.0000e-04  |norm: 1.7383 | dt: 5885.20ms| tok/sec 89085.84
step    6 | loss: 8.421539| lr 6.0000e-04  |norm: 1.4859 | dt: 5914.03ms| tok/sec 88651.56
step    7 | loss: 8.189814| lr 6.0000e-04  |norm: 1.1657 | dt: 5985.20ms| tok/sec 87597.35
step    8 | loss: 7.975440| lr 6.0000e-04  |norm: 0.8818 | dt: 5848.35ms| tok/sec 89647.14
step    9 | loss: 7.828028| lr 6.0000e-04  |norm: 0.6963 | dt: 5948.99ms| tok/sec 88130.63
step   10 | loss: 7.769302| lr 6.0000e-04  |norm: 1.0472 | dt: 5879.14ms| tok/sec 89177.68
step   11 | loss: 7.716108| lr 6.0000e-04  |norm: 1.0714 | dt: 5993.83ms| tok/sec 87471.23
step   12 | loss: 7.750065| lr 6.0000e-04  |norm: 0.6302 | dt: 5974.14ms| tok/sec 87759.55
step   13 | loss: 7.751279| lr 6.0000e-04  |norm: 0.6584 | dt: 6028.02ms| tok/sec 86975.18
step   14 | loss: 7.618765| lr 6.0000e-04  |norm: 0.8005 | dt: 5942.73ms| tok/sec 88223.45
step   15 | loss: 7.656236| lr 6.0000e-04  |norm: 0.7485 | dt: 5829.14ms| tok/sec 89942.53
step   16 | loss: 7.701134| lr 6.0000e-04  |norm: 0.7122 | dt: 5867.70ms| tok/sec 89351.46
step   17 | loss: 7.620374| lr 6.0000e-04  |norm: 0.6563 | dt: 5864.68ms| tok/sec 89397.59
step   18 | loss: 7.827313| lr 6.0000e-04  |norm: 0.6795 | dt: 5923.71ms| tok/sec 88506.62
step   19 | loss: 7.914346| lr 6.0000e-04  |norm: 1.0074 | dt: 5864.39ms| tok/sec 89401.92
step   20 | loss: 7.611867| lr 6.0000e-04  |norm: 0.8299 | dt: 5849.48ms| tok/sec 89629.86
step   21 | loss: 7.599959| lr 6.0000e-04  |norm: 0.5228 | dt: 5849.02ms| tok/sec 89636.93
step   22 | loss: 7.557271| lr 6.0000e-04  |norm: 0.8895 | dt: 5852.72ms| tok/sec 89580.23
step   23 | loss: 7.597958| lr 6.0000e-04  |norm: 0.9961 | dt: 5852.87ms| tok/sec 89577.98
step   24 | loss: 7.471174| lr 6.0000e-04  |norm: 0.6360 | dt: 5842.59ms| tok/sec 89735.49
step   25 | loss: 7.430468| lr 6.0000e-04  |norm: 0.5963 | dt: 5847.06ms| tok/sec 89666.90
step   26 | loss: 7.466367| lr 6.0000e-04  |norm: 0.5730 | dt: 5852.44ms| tok/sec 89584.51
step   27 | loss: 7.402408| lr 6.0000e-04  |norm: 0.6741 | dt: 5840.60ms| tok/sec 89766.11
step   28 | loss: 7.380311| lr 6.0000e-04  |norm: 0.4161 | dt: 5853.68ms| tok/sec 89565.57
step   29 | loss: 7.318799| lr 6.0000e-04  |norm: 0.3645 | dt: 5888.40ms| tok/sec 89037.45
step   30 | loss: 7.456809| lr 6.0000e-04  |norm: 0.4453 | dt: 5895.78ms| tok/sec 88925.91
step   31 | loss: 7.357183| lr 6.0000e-04  |norm: 0.4381 | dt: 5849.88ms| tok/sec 89623.73
step   32 | loss: 7.368701| lr 6.0000e-04  |norm: 0.4346 | dt: 5848.82ms| tok/sec 89639.92
step   33 | loss: 7.337508| lr 6.0000e-04  |norm: 0.4047 | dt: 5844.95ms| tok/sec 89699.33
step   34 | loss: 7.215525| lr 6.0000e-04  |norm: 0.4168 | dt: 5894.52ms| tok/sec 88945.04
